date,symbol,open,high,low,close,volume
2023-02-10,SOCK,85.42,85.54,82.99,83.11,4598132
2023-02-10,YARN,41.23,41.76,36.28,36.94,3740911
2023-02-13,SOCK,83.11,83.43,81.01,82.67,4191492
2023-02-13,YARN,36.94,37.34,36.47,36.8,3378882
2023-02-14,SOCK,82.67,83.19,80.5,81.42,1248991
2023-02-14,YARN,36.8,37.88,34.93,35.22,1395865
2023-02-15,SOCK,81.42,83.38,81.19,82.86,1649212
2023-02-15,YARN,35.22,35.6,33.7,34.07,3245354
2023-02-16,SOCK,82.86,83.09,82.15,82.62,1405857
2023-02-16,YARN,34.07,34.54,31.65,32.2,2760653
2023-02-17,SOCK,82.62,82.8,82.48,82.67,4497329
2023-02-17,YARN,32.2,33.34,30.83,31.96,2373118
2023-02-20,SOCK,82.67,82.98,82.0,82.02,2456653
2023-02-20,YARN,31.96,32.12,30.04,30.23,4913706
2023-02-21,SOCK,82.02,84.74,80.9,83.58,4972410
2023-02-21,YARN,30.23,31.19,29.75,30.94,1442046
2023-02-22,SOCK,83.58,83.78,81.43,81.75,2370543
2023-02-22,YARN,30.94,32.51,30.33,32.06,4552574
2023-02-23,SOCK,81.75,82.33,80.22,82.19,1645754
2023-02-23,YARN,32.06,32.31,29.3,29.42,2159705
2023-02-24,SOCK,82.19,86.54,81.74,86.23,3172689
2023-02-24,YARN,29.42,29.46,28.28,28.39,3520392
2023-02-27,SOCK,86.23,87.28,85.94,86.11,4914004
2023-02-27,YARN,28.39,29.21,28.15,28.89,4974995
2023-02-28,SOCK,86.11,88.93,86.06,87.9,1668168
2023-02-28,YARN,28.89,28.99,28.09,28.73,2226961
2023-03-01,SOCK,87.9,89.78,86.83,89.63,4116219
2023-03-01,YARN,28.73,29.55,28.69,29.54,2217826
2023-03-02,SOCK,89.63,90.19,88.1,89.08,4410515
2023-03-02,YARN,29.54,30.69,29.39,30.19,2991445
2023-03-03,SOCK,89.08,89.64,82.89,84.35,3959492
2023-03-03,YARN,30.19,30.52,29.56,29.67,3587245
2023-03-06,SOCK,84.35,85.71,84.22,84.7,1111748
2023-03-06,YARN,29.67,29.97,26.33,26.69,1486005
2023-03-07,SOCK,84.7,85.19,84.05,85.07,3770087
2023-03-07,YARN,26.69,27.07,25.77,26.33,1426584
2023-03-08,SOCK,85.07,87.16,82.74,86.91,4820002
2023-03-08,YARN,26.33,26.87,25.6,26.72,3452016
2023-03-09,SOCK,86.91,87.31,84.51,84.96,1907383
2023-03-09,YARN,26.72,26.77,26.38,26.52,1049965
2023-03-10,SOCK,84.96,85.94,83.67,85.39,4361742
2023-03-10,YARN,26.52,26.96,26.44,26.61,1677658
2023-03-13,SOCK,85.39,86.63,82.71,82.87,4198574
2023-03-13,YARN,26.61,26.63,25.71,25.89,4615420
2023-03-14,SOCK,82.87,85.65,81.65,85.02,4000561
2023-03-14,YARN,25.89,26.07,24.91,25.27,1218715
2023-03-15,SOCK,85.02,85.54,83.4,83.47,4156541
2023-03-15,YARN,25.27,25.9,24.95,25.51,4838451
2023-03-16,SOCK,83.47,84.77,81.22,82.04,2605547
2023-03-16,YARN,25.51,25.7,24.52,24.52,4723292
2023-03-17,SOCK,82.04,83.28,81.36,81.79,1680014
2023-03-17,YARN,24.52,24.95,24.27,24.75,4595471
2023-03-20,SOCK,81.79,82.83,80.57,82.5,1584697
2023-03-20,YARN,24.75,25.3,24.0,25.01,2982207
2023-03-21,SOCK,82.5,83.56,78.85,80.86,3629073
2023-03-21,YARN,25.01,25.27,23.79,23.87,2559181
2023-03-22,SOCK,80.86,81.69,79.62,79.71,4883560
2023-03-22,YARN,23.87,24.12,23.51,23.77,2937558
2023-03-23,SOCK,79.71,80.53,78.92,79.95,4734499
2023-03-23,YARN,23.77,25.21,23.52,25.13,1693870
2023-03-24,SOCK,79.95,80.61,76.79,77.04,2007339
2023-03-24,YARN,25.13,25.32,24.53,24.83,3246136
2023-03-27,SOCK,77.04,77.19,75.6,76.14,3345748
2023-03-27,YARN,24.83,25.18,24.43,24.73,2542389
2023-03-28,SOCK,76.14,76.93,74.96,76.09,2415136
2023-03-28,YARN,24.73,24.81,24.02,24.51,2404990
2023-03-29,SOCK,76.09,79.59,75.83,78.59,4617187
2023-03-29,YARN,24.51,25.49,24.27,25.48,2134347
2023-03-30,SOCK,78.59,79.43,74.62,75.55,3094026
2023-03-30,YARN,25.48,25.6,25.3,25.5,1623573
2023-03-31,SOCK,75.55,76.39,75.46,75.58,1732431
2023-03-31,YARN,25.5,25.55,24.75,24.9,2078670
2023-04-03,SOCK,75.58,78.36,75.18,78.33,3900773
2023-04-03,YARN,24.9,25.28,24.24,25.11,4219758
2023-04-04,SOCK,78.33,80.61,78.09,79.94,3073394
2023-04-04,YARN,25.11,25.81,24.81,25.61,3889865
2023-04-05,SOCK,79.94,80.42,76.58,77.36,1993977
2023-04-05,YARN,25.61,26.29,24.0,24.23,3019318
2023-04-06,SOCK,77.36,78.86,76.05,78.63,3030855
2023-04-06,YARN,24.23,26.02,23.84,25.96,1523779
2023-04-07,SOCK,78.63,79.14,75.52,76.22,3450111
2023-04-07,YARN,25.96,26.25,25.39,25.8,2471982
2023-04-10,SOCK,76.22,77.13,75.37,75.4,3770924
2023-04-10,YARN,25.8,25.81,24.68,25.2,1850167
2023-04-11,SOCK,75.4,75.68,71.93,73.67,3796871
2023-04-11,YARN,25.2,25.61,24.73,25.47,2081636
2023-04-12,SOCK,73.67,75.46,72.44,74.2,2038369
2023-04-12,YARN,25.47,25.52,25.03,25.4,3630085
2023-04-13,SOCK,74.2,74.85,70.73,70.93,1486487
2023-04-13,YARN,25.4,25.54,24.68,24.81,1708188
2023-04-14,SOCK,70.93,71.19,70.23,70.33,1962555
2023-04-14,YARN,24.81,25.21,24.54,25.01,3650995
2023-04-17,SOCK,70.33,72.72,70.01,72.24,1617786
2023-04-17,YARN,25.01,26.08,24.73,25.76,2187834
2023-04-18,SOCK,72.24,72.47,68.28,69.28,1571915
2023-04-18,YARN,25.76,26.78,25.63,26.47,1905699
2023-04-19,SOCK,69.28,73.27,68.95,72.01,2593027
2023-04-19,YARN,26.47,27.82,26.38,27.36,4635691
2023-04-20,SOCK,72.01,77.82,71.83,75.54,4329778
2023-04-20,YARN,27.36,28.32,26.52,28.18,4445121
2023-04-21,SOCK,75.54,77.12,74.85,76.43,1782978
2023-04-21,YARN,28.18,28.9,27.55,28.64,3654442
2023-04-24,SOCK,76.43,76.94,75.23,76.34,1077931
2023-04-24,YARN,28.64,29.15,28.29,28.89,3636254
2023-04-25,SOCK,76.34,76.62,74.17,74.84,3495708
2023-04-25,YARN,28.89,29.2,28.46,28.69,3515308
2023-04-26,SOCK,74.84,75.31,74.82,75.03,4940332
2023-04-26,YARN,28.69,28.78,27.85,28.04,4650744
2023-04-27,SOCK,75.03,78.01,74.57,76.04,1158352
2023-04-27,YARN,28.04,28.7,27.79,27.91,1648052
2023-04-28,SOCK,76.04,76.92,75.44,76.81,1518222
2023-04-28,YARN,27.91,28.09,27.57,27.97,2522967
2023-05-01,SOCK,76.81,77.61,73.63,73.87,1597471
2023-05-01,YARN,27.97,28.77,27.8,28.68,4357861
2023-05-02,SOCK,73.87,74.71,72.42,72.88,3801669
2023-05-02,YARN,28.68,29.3,27.99,28.27,2018836
2023-05-03,SOCK,72.88,73.48,72.59,73.35,1289656
2023-05-03,YARN,28.27,28.53,27.09,27.1,4337098
2023-05-04,SOCK,73.35,74.31,71.58,71.96,4206514
2023-05-04,YARN,27.1,27.19,26.77,27.13,1171839
2023-05-05,SOCK,71.96,75.19,70.65,74.46,2815094
2023-05-05,YARN,27.13,28.27,26.84,27.82,1444749
2023-05-08,SOCK,74.46,76.22,73.66,75.71,4706677
2023-05-08,YARN,27.82,28.08,27.54,28.0,4657925
2023-05-09,SOCK,75.71,76.1,75.11,75.66,1437805
2023-05-09,YARN,28.0,28.19,27.86,28.01,3990248
2023-05-10,SOCK,75.66,75.79,75.31,75.52,1807072
2023-05-10,YARN,28.01,28.17,26.93,27.22,1359734
2023-05-11,SOCK,75.52,76.12,75.04,75.08,3000354
2023-05-11,YARN,27.22,28.19,26.66,28.04,3954442
2023-05-12,SOCK,75.08,75.38,73.27,73.88,1072652
2023-05-12,YARN,28.04,28.32,26.99,27.5,2811121
2023-05-15,SOCK,73.88,74.05,73.78,73.92,1757825
2023-05-15,YARN,27.5,28.93,27.05,28.71,4712519
2023-05-16,SOCK,73.92,75.63,71.84,72.11,1425125
2023-05-16,YARN,28.71,29.68,28.18,29.16,1174765
2023-05-17,SOCK,72.11,73.5,70.74,72.8,2572344
2023-05-17,YARN,29.16,29.92,28.66,28.7,4877657
2023-05-18,SOCK,72.8,74.04,72.75,72.93,4929762
2023-05-18,YARN,28.7,30.15,28.29,29.79,1998760
2023-05-19,SOCK,72.93,74.08,71.18,71.45,2618790
2023-05-19,YARN,29.79,30.74,29.53,30.58,2242211
2023-05-22,SOCK,71.45,71.59,69.35,69.54,1519274
2023-05-22,YARN,30.58,31.38,30.03,30.91,3681337
2023-05-23,SOCK,69.54,72.15,69.52,71.64,1337939
2023-05-23,YARN,30.91,31.31,30.41,30.97,4743374
2023-05-24,SOCK,71.64,73.34,70.43,72.54,3682173
2023-05-24,YARN,30.97,31.2,30.56,30.88,4538741
2023-05-25,SOCK,72.54,73.07,72.16,72.37,1630131
2023-05-25,YARN,30.88,32.11,30.45,31.63,3193040
2023-05-26,SOCK,72.37,74.51,72.18,73.96,4847146
2023-05-26,YARN,31.63,33.17,31.34,33.15,3666129
2023-05-29,SOCK,73.96,76.0,73.89,75.84,2238191
2023-05-29,YARN,33.15,33.47,32.16,32.25,1457913
2023-05-30,SOCK,75.84,79.84,75.81,79.82,2526506
2023-05-30,YARN,32.25,32.37,30.03,30.44,1825731
2023-05-31,SOCK,79.82,79.97,77.73,78.01,1019802
2023-05-31,YARN,30.44,31.28,30.21,31.14,2792072
2023-06-01,SOCK,78.01,79.85,77.67,79.82,2598044
2023-06-01,YARN,31.14,32.85,30.87,32.52,2874637
2023-06-02,SOCK,79.82,80.24,79.62,80.19,3342333
2023-06-02,YARN,32.52,32.74,32.08,32.14,4968511
2023-06-05,SOCK,80.19,82.67,79.95,81.34,3630174
2023-06-05,YARN,32.14,32.21,31.94,32.21,3868565
2023-06-06,SOCK,81.34,82.98,80.13,80.68,4938916
2023-06-06,YARN,32.21,33.53,31.77,33.45,2736961
2023-06-07,SOCK,80.68,82.42,79.64,81.65,3572877
2023-06-07,YARN,33.45,34.43,32.87,34.19,1033208
2023-06-08,SOCK,81.65,85.12,80.75,84.68,3935408
2023-06-08,YARN,34.19,35.86,33.36,35.49,3610415
2023-06-09,SOCK,84.68,84.86,82.82,83.24,3095029
2023-06-09,YARN,35.49,35.49,33.32,33.7,1554609
2023-06-12,SOCK,83.24,83.28,79.62,80.13,3336246
2023-06-12,YARN,33.7,35.59,33.48,35.43,1742938
2023-06-13,SOCK,80.13,81.08,76.62,77.35,3773304
2023-06-13,YARN,35.43,36.09,33.92,34.68,4706817
2023-06-14,SOCK,77.35,77.64,76.86,77.45,1419665
2023-06-14,YARN,34.68,36.4,34.27,35.58,2306693
2023-06-15,SOCK,77.45,79.1,76.6,78.58,3511068
2023-06-15,YARN,35.58,35.98,33.18,34.05,2280622
2023-06-16,SOCK,78.58,79.43,76.9,76.96,4190790
2023-06-16,YARN,34.05,34.53,32.54,33.18,1957518
2023-06-19,SOCK,76.96,77.03,76.05,77.02,3140799
2023-06-19,YARN,33.18,35.21,33.02,34.56,3512844
2023-06-20,SOCK,77.02,77.26,76.71,76.76,1297799
2023-06-20,YARN,34.56,36.01,33.53,35.26,2977519
2023-06-21,SOCK,76.76,76.88,74.42,75.64,1820870
2023-06-21,YARN,35.26,35.57,33.84,33.84,2198288
2023-06-22,SOCK,75.64,77.69,74.68,75.42,2916040
2023-06-22,YARN,33.84,33.94,33.37,33.48,2772753
2023-06-23,SOCK,75.42,76.04,74.24,75.52,3467896
2023-06-23,YARN,33.48,33.7,32.89,32.93,1159772
2023-06-26,SOCK,75.52,75.76,74.84,75.19,3972869
2023-06-26,YARN,32.93,33.05,32.34,32.34,4363292
2023-06-27,SOCK,75.19,76.48,74.27,76.15,1049876
2023-06-27,YARN,32.34,32.87,31.61,32.28,2701777
2023-06-28,SOCK,76.15,77.54,75.6,77.32,3702830
2023-06-28,YARN,32.28,32.97,31.49,31.99,2354674
2023-06-29,SOCK,77.32,77.55,74.39,75.27,2858651
2023-06-29,YARN,31.99,32.65,31.64,31.9,4304287
2023-06-30,SOCK,75.27,75.35,74.18,74.57,4912502
2023-06-30,YARN,31.9,32.55,31.76,32.38,3253493
2023-07-03,SOCK,74.57,74.7,73.95,74.0,2835883
2023-07-03,YARN,32.38,33.59,32.12,33.4,1340167
2023-07-04,SOCK,74.0,77.5,73.45,75.7,1839348
2023-07-04,YARN,33.4,33.89,31.84,32.9,4461673
2023-07-05,SOCK,75.7,76.61,75.52,76.12,3325889
2023-07-05,YARN,32.9,34.15,32.32,32.52,3479476
2023-07-06,SOCK,76.12,78.06,75.73,77.33,4280868
2023-07-06,YARN,32.52,32.82,32.23,32.66,2188154
2023-07-07,SOCK,77.33,78.94,77.05,77.14,3813348
2023-07-07,YARN,32.66,33.75,30.96,31.46,2922928
2023-07-10,SOCK,77.14,79.21,76.96,77.57,1014361
2023-07-10,YARN,31.46,31.78,30.46,30.99,1111366
2023-07-11,SOCK,77.57,78.49,77.52,77.64,2207804
2023-07-11,YARN,30.99,32.88,30.34,32.61,2789379
2023-07-12,SOCK,77.64,79.15,77.04,78.59,1006965
2023-07-12,YARN,32.61,34.23,32.16,33.85,2665507
2023-07-13,SOCK,78.59,81.4,77.09,81.4,1480165
2023-07-13,YARN,33.85,35.48,33.73,34.82,2585372
2023-07-14,SOCK,81.4,84.34,80.85,83.75,2488887
2023-07-14,YARN,34.82,35.55,34.32,35.33,1449087
2023-07-17,SOCK,83.75,86.15,81.1,82.99,3356706
2023-07-17,YARN,35.33,35.59,34.18,34.48,1379858
2023-07-18,SOCK,82.99,83.67,81.88,81.92,1406839
2023-07-18,YARN,34.48,34.56,33.07,33.72,1906217
2023-07-19,SOCK,81.92,82.82,81.34,82.48,4742359
2023-07-19,YARN,33.72,34.03,33.61,33.81,3052737
2023-07-20,SOCK,82.48,83.18,81.94,82.53,2493397
2023-07-20,YARN,33.81,33.92,33.3,33.46,2758109
2023-07-21,SOCK,82.53,84.18,82.04,82.51,4247849
2023-07-21,YARN,33.46,34.1,32.98,33.68,3858420
2023-07-24,SOCK,82.51,83.85,79.13,80.07,3878290
2023-07-24,YARN,33.68,33.96,32.88,33.71,1408372
2023-07-25,SOCK,80.07,81.31,78.99,79.39,2803441
2023-07-25,YARN,33.71,33.96,33.18,33.62,1685020
2023-07-26,SOCK,79.39,80.61,79.33,79.47,4707108
2023-07-26,YARN,33.62,35.06,33.58,34.89,4104655
2023-07-27,SOCK,79.47,80.64,78.83,80.01,2374651
2023-07-27,YARN,34.89,35.25,34.2,34.33,2489387
2023-07-28,SOCK,80.01,81.26,78.67,79.28,3623981
2023-07-28,YARN,34.33,35.79,34.23,35.72,3829705
2023-07-31,SOCK,79.28,79.6,78.19,79.15,2577471
2023-07-31,YARN,35.72,37.64,35.22,36.61,3484681
2023-08-01,SOCK,79.15,80.07,78.7,79.66,2988303
2023-08-01,YARN,36.61,38.12,35.64,37.6,1672020
2023-08-02,SOCK,79.66,83.39,77.96,83.05,4985900
2023-08-02,YARN,37.6,37.61,35.97,36.47,4054473
2023-08-03,SOCK,83.05,83.19,82.11,82.24,2367820
2023-08-03,YARN,36.47,37.4,35.24,35.61,3948997
2023-08-04,SOCK,82.24,83.47,81.91,82.96,2033430
2023-08-04,YARN,35.61,37.17,35.34,36.34,1174015
2023-08-07,SOCK,82.96,83.69,79.86,79.87,2655534
2023-08-07,YARN,36.34,36.49,35.02,35.95,1451877
2023-08-08,SOCK,79.87,80.63,78.15,78.27,2352812
2023-08-08,YARN,35.95,36.67,35.01,35.37,2018409
2023-08-09,SOCK,78.27,79.72,77.87,79.48,3013582
2023-08-09,YARN,35.37,36.33,35.0,35.78,1454304
2023-08-10,SOCK,79.48,80.57,78.21,79.36,1863852
2023-08-10,YARN,35.78,36.04,34.55,34.58,4202771
2023-08-11,SOCK,79.36,79.96,78.56,79.25,4815774
2023-08-11,YARN,34.58,35.73,34.39,35.11,2523283
2023-08-14,SOCK,79.25,81.26,77.94,80.31,1087242
2023-08-14,YARN,35.11,37.37,34.27,36.68,3153734
2023-08-15,SOCK,80.31,83.1,79.59,82.84,3348705
2023-08-15,YARN,36.68,37.6,35.86,35.94,2369472
2023-08-16,SOCK,82.84,83.66,81.74,81.74,4707309
2023-08-16,YARN,35.94,36.31,35.38,35.89,4492235
2023-08-17,SOCK,81.74,84.72,81.13,83.26,1436183
2023-08-17,YARN,35.89,36.13,35.48,35.99,3718048
2023-08-18,SOCK,83.26,83.83,82.26,83.09,3728300
2023-08-18,YARN,35.99,38.32,35.61,37.81,1633134
2023-08-21,SOCK,83.09,86.12,82.24,85.62,2829300
2023-08-21,YARN,37.81,38.94,37.27,38.46,1303534
2023-08-22,SOCK,85.62,85.85,83.27,83.35,4129194
2023-08-22,YARN,38.46,38.65,36.99,37.33,4575938
2023-08-23,SOCK,83.35,85.68,82.91,83.81,1511867
2023-08-23,YARN,37.33,37.42,36.8,37.06,2871039
2023-08-24,SOCK,83.81,83.82,81.55,82.73,3794327
2023-08-24,YARN,37.06,38.48,36.8,37.98,2414729
2023-08-25,SOCK,82.73,83.46,81.65,83.26,2552327
2023-08-25,YARN,37.98,39.52,37.93,39.49,2837630
2023-08-28,SOCK,83.26,83.44,81.86,82.97,1041846
2023-08-28,YARN,39.49,39.89,39.47,39.71,1583314
2023-08-29,SOCK,82.97,83.84,81.29,82.43,4535096
2023-08-29,YARN,39.71,40.12,39.16,39.26,2048270
2023-08-30,SOCK,82.43,83.03,81.79,81.88,1988233
2023-08-30,YARN,39.26,41.32,38.96,40.64,4827842
2023-08-31,SOCK,81.88,84.73,81.82,84.41,2993240
2023-08-31,YARN,40.64,40.98,39.67,40.97,4489530
2023-09-01,SOCK,84.41,85.19,83.62,84.79,2029024
2023-09-01,YARN,40.97,41.1,39.35,40.19,3538493
2023-09-04,SOCK,84.79,86.47,82.89,82.92,2352206
2023-09-04,YARN,40.19,40.57,39.22,39.56,4754574
2023-09-05,SOCK,82.92,84.52,82.32,83.41,1792318
2023-09-05,YARN,39.56,39.77,36.83,37.26,4053328
2023-09-06,SOCK,83.41,85.57,82.84,84.25,4879434
2023-09-06,YARN,37.26,37.92,36.84,37.18,3202960
2023-09-07,SOCK,84.25,84.86,82.81,84.27,1923235
2023-09-07,YARN,37.18,37.34,36.3,36.41,2348865
2023-09-08,SOCK,84.27,86.24,83.69,84.83,2983058
2023-09-08,YARN,36.41,37.87,34.47,34.97,1973688
2023-09-11,SOCK,84.83,89.14,84.27,88.89,2668116
2023-09-11,YARN,34.97,35.14,34.48,35.09,1542480
2023-09-12,SOCK,88.89,90.76,86.22,86.75,1851796
2023-09-12,YARN,35.09,37.28,34.54,37.23,3274907
2023-09-13,SOCK,86.75,88.66,86.67,88.18,1207362
2023-09-13,YARN,37.23,37.7,36.9,37.58,1265301
2023-09-14,SOCK,88.18,90.2,86.71,89.87,3930895
2023-09-14,YARN,37.58,38.04,37.18,37.28,4749718
2023-09-15,SOCK,89.87,91.95,87.67,87.7,2316971
2023-09-15,YARN,37.28,37.96,34.87,35.89,3333377
2023-09-18,SOCK,87.7,91.3,87.69,89.37,3657719
2023-09-18,YARN,35.89,36.66,34.5,36.49,2427906
2023-09-19,SOCK,89.37,90.0,88.38,88.97,2326789
2023-09-19,YARN,36.49,36.58,34.38,34.93,4473229
2023-09-20,SOCK,88.97,89.15,88.82,89.09,4822059
2023-09-20,YARN,34.93,36.29,34.59,36.03,2030156
2023-09-21,SOCK,89.09,92.44,87.48,90.77,1829609
2023-09-21,YARN,36.03,36.35,35.48,35.53,2072204
2023-09-22,SOCK,90.77,92.09,88.32,88.73,1197029
2023-09-22,YARN,35.53,35.89,35.04,35.32,3411608
2023-09-25,SOCK,88.73,89.58,86.95,87.09,4678025
2023-09-25,YARN,35.32,36.26,34.74,35.75,1786843
2023-09-26,SOCK,87.09,88.5,86.92,87.72,2643207
2023-09-26,YARN,35.75,37.12,35.3,35.48,4237880
2023-09-27,SOCK,87.72,88.29,86.13,87.51,1162597
2023-09-27,YARN,35.48,35.82,34.89,35.23,1546661
2023-09-28,SOCK,87.51,88.25,86.92,88.18,3989147
2023-09-28,YARN,35.23,36.35,34.69,35.73,4691551
2023-09-29,SOCK,88.18,88.82,87.1,87.58,2089258
2023-09-29,YARN,35.73,35.84,34.21,34.66,3997297
2023-10-02,SOCK,87.58,90.3,87.47,89.97,2265934
2023-10-02,YARN,34.66,35.08,33.84,34.04,1229792
2023-10-03,SOCK,89.97,92.89,89.89,92.87,4022609
2023-10-03,YARN,34.04,34.17,33.13,33.21,3505244
2023-10-04,SOCK,92.87,95.88,92.68,95.21,1935465
2023-10-04,YARN,33.21,33.71,32.32,32.62,2853512
2023-10-05,SOCK,95.21,97.57,94.75,95.12,4815642
2023-10-05,YARN,32.62,33.73,32.1,32.19,3256557
2023-10-06,SOCK,95.12,95.59,93.09,94.08,4712397
2023-10-06,YARN,32.19,32.54,31.61,32.53,2316664
2023-10-09,SOCK,94.08,95.77,92.53,95.07,3953952
2023-10-09,YARN,32.53,32.76,31.35,31.51,1570632
2023-10-10,SOCK,95.07,98.07,94.41,96.57,2278195
2023-10-10,YARN,31.51,31.76,31.31,31.56,3154643
2023-10-11,SOCK,96.57,97.66,94.29,95.56,1316059
2023-10-11,YARN,31.56,32.07,30.34,30.65,3629437
2023-10-12,SOCK,95.56,98.18,95.55,96.65,1135454
2023-10-12,YARN,30.65,30.9,29.97,29.99,3845713
2023-10-13,SOCK,96.65,98.24,96.38,97.42,4921023
2023-10-13,YARN,29.99,30.06,28.55,29.31,2237011
2023-10-16,SOCK,97.42,103.8,97.38,101.78,1385690
2023-10-16,YARN,29.31,30.87,28.97,29.65,3093289
2023-10-17,SOCK,101.78,104.31,101.77,102.69,2787852
2023-10-17,YARN,29.65,30.09,29.57,29.87,1036161
2023-10-18,SOCK,102.69,104.03,101.57,102.96,3991908
2023-10-18,YARN,29.87,29.97,28.52,28.58,4958100
2023-10-19,SOCK,102.96,103.84,99.69,100.91,1484658
2023-10-19,YARN,28.58,28.68,27.09,27.78,1359648
2023-10-20,SOCK,100.91,102.6,100.02,101.88,3952269
2023-10-20,YARN,27.78,28.27,27.33,28.23,3220991
2023-10-23,SOCK,101.88,102.12,100.42,101.14,1981361
2023-10-23,YARN,28.23,29.03,27.32,28.6,2462437
2023-10-24,SOCK,101.14,105.36,100.35,103.6,2584278
2023-10-24,YARN,28.6,29.15,28.53,28.93,1648319
2023-10-25,SOCK,103.6,104.83,102.73,102.79,1925523
2023-10-25,YARN,28.93,29.67,26.85,26.98,1970341
2023-10-26,SOCK,102.79,105.34,102.31,103.93,2899051
2023-10-26,YARN,26.98,27.99,26.74,27.93,4202137
2023-10-27,SOCK,103.93,104.77,102.12,103.93,4657502
2023-10-27,YARN,27.93,28.29,27.27,27.36,4614002
2023-10-30,SOCK,103.93,105.89,103.44,105.67,4891860
2023-10-30,YARN,27.36,28.84,26.81,28.4,2607414
2023-10-31,SOCK,105.67,108.8,104.46,106.67,2488947
2023-10-31,YARN,28.4,29.0,28.29,28.9,3256804
2023-11-01,SOCK,106.67,109.17,106.55,108.29,4782808
2023-11-01,YARN,28.9,29.42,26.72,27.26,1896331
2023-11-02,SOCK,108.29,113.29,107.39,112.1,3479791
2023-11-02,YARN,27.26,27.27,26.56,26.88,2735177
2023-11-03,SOCK,112.1,113.66,111.62,112.6,2019654
2023-11-03,YARN,26.88,27.22,26.85,26.95,2193841
2023-11-06,SOCK,112.6,115.19,111.65,113.85,1813767
2023-11-06,YARN,26.95,27.23,25.79,25.79,3278093
2023-11-07,SOCK,113.85,116.01,113.53,115.94,2248782
2023-11-07,YARN,25.79,27.32,25.59,26.65,4006158
2023-11-08,SOCK,115.94,116.54,112.72,114.67,3192179
